Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Euclidean Distance
Yerry Mina,"DF,MF",0.013026355649803091,0.0,0.0,0.045454545454545456,0.0,0.0,0.8181818181818182,Italy,28.0,2.0,0.87481,3.550520681818182,0.5744499125965661
Andre-Frank Zambo Anguissa,MF,0.8436837322023629,0.12258064516129033,0.030868628858578603,0.058506819813352484,0.0,0.005333333333333333,1.5941017066901328,Italy,27.0,2.0,0.87481,3.9548686093485865,0.5751592244392633
Daouda Traoré,MF,0.004544077552256892,0.0,0.125,0.0625,0.0,0.0,2.25,France,17.0,5.0,0.6495000000000001,3.3248750000000005,0.5755284105439976
Cher Ndour,MF,0.008179339594062406,0.0,0.0,0.07142857142857144,0.0,0.0,1.2857142857142858,France,19.0,5.0,0.6495000000000001,2.898089285714286,0.576008733685468
Tony Jantschke,"DF,MF",0.007876401090578614,0.0,0.0,0.07407407407407408,0.0,0.0,1.3333333333333337,Germany,33.0,4.0,0.78425,4.362729166666667,0.5761154811064397
Joris Chotard,MF,0.7833989700090881,0.04878048780487805,0.009277155005798223,0.04290684190181678,0.0,0.008888888888888889,0.9833785248946422,France,21.0,5.0,0.6495000000000001,2.901571041181517,0.5761608610374437
Marc Casado,MF,0.004241139048773099,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,2.4000000000000004,Spain,19.0,3.0,0.8173900000000001,3.6643475000000008,0.5762850927991235
João Gomes,MF,0.8021811572250832,0.06802721088435375,0.021140052850132124,0.038127595318988294,0.011666666666666667,0.0026666666666666666,1.028611613161686,England,22.0,1.0,0.99232,3.116677548555096,0.5763493087106691
Noah Mbamba,MF,0.004544077552256892,0.5,0.125,0.125,0.0,0.5004444444444445,6.064,Germany,18.0,4.0,0.78425,5.9376625,0.5765179360866647
Pablo Saenz,MF,0.00545289306270827,0.0,0.0,0.10526315789473686,0.0,0.0,1.894736842105263,Spain,22.0,3.0,0.8173900000000001,3.635926447368421,0.5775731552543475
Roméo Lavia,MF,0.00969403211148137,0.0,0.0,0.030303030303030307,0.0,0.0,0.5454545454545455,England,19.0,1.0,0.99232,2.5026254545454547,0.5779161900286061
Luca Raimund,"FW,MF",0.008785216601029992,0.0,0.0,0.03333333333333333,0.0,0.0,0.6000000000000001,Germany,18.0,4.0,0.78425,2.3860625,0.5781729592964567
Kevin Zeroli,MF,0.008179339594062406,0.0,0.0,0.03571428571428572,0.0,0.0,0.6428571428571429,Italy,18.0,2.0,0.87481,2.436559642857143,0.5783191481899921
